iter	RMSE
0	434.986077
1	418.7851825
2	401.1478605
3	383.9152945
4	368.6606318
5	356.9994983
6	343.8563635
7	332.6078563
8	323.8246105
9	314.7934365
10	306.85988
11	302.3837526
12	295.6346601
13	289.0343914
14	284.2713259
15	279.9544282
16	275.6782498
17	271.3452002
18	267.6885018
19	262.9391576
20	259.7984239
21	256.7400842
22	253.5837674
23	250.9483706
24	247.6753527
25	244.5519728
26	240.8321674
27	239.0400788
28	236.4372891
29	234.1134796
30	231.7432944
31	229.5462078
32	228.1856069
33	226.2289022
34	223.9098581
35	221.8961978
36	221.0504304
37	220.2302641
38	217.7067217
39	215.9030044
40	214.5556654
41	212.3722254
42	209.8995617
43	208.9378283
44	205.7699137
45	204.994357
46	201.5804946
47	201.162584
48	199.0061268
49	198.0562496
50	197.411636
51	197.0550235
52	195.7603198
53	195.4293002
54	195.0970256
55	194.00598
56	192.2459246
57	191.4804538
58	189.6552904
59	189.1951424
60	186.9109051
61	184.8301615
62	184.1157995
63	183.8504623
64	182.3359428
65	182.0926344
66	181.6152786
67	180.9802836
68	179.0203429
69	178.6839371
70	178.3481802
71	178.0344205
72	176.1006678
73	173.8250944
74	172.7514953
75	172.3525645
76	171.9662536
77	170.2583119
78	168.7384722
79	168.5097555
80	166.1329149
81	165.7775584
82	165.2709828
83	164.4210253
84	164.1122767
85	162.33232
86	161.5137637
87	161.2270767
88	159.4236982
89	159.1148484
90	158.3376988
91	157.5530291
92	155.9770478
93	155.7855625
94	154.4662926
95	153.8470627
96	153.220922
97	152.0526208
98	151.0040105
99	150.2746104
100	149.6528731
101	149.381916
102	148.8392746
103	148.332933
104	147.4617945
105	146.7081883
106	146.4307821
107	145.1268788
108	143.6876031
109	143.5253992
110	143.3715891
111	143.1208932
112	142.9195733
113	142.3527466
114	141.7081133
115	141.0993478
116	140.1633267
117	139.3350852
118	138.8031767
119	138.4819653
120	137.2155588
121	136.1135032
122	135.2800729
123	134.6394592
124	133.6758055
125	132.4369605
126	132.1832817
127	131.1075139
128	130.4179627
129	130.1384174
130	129.8759568
131	129.4153952
132	129.1987684
133	128.5017399
134	128.2543047
135	127.7161698
136	127.4848456
137	126.8480545
138	126.0620806
139	125.0197082
140	124.4785531
141	124.3731067
142	124.1095025
143	123.3299805
144	122.9154877
145	122.101666
146	121.4957277
147	120.6486348
148	120.0884212
149	119.1018635
150	117.7125351
151	117.2577982
152	117.052145
153	116.6122397
154	116.1990302
155	115.2239351
156	114.6622297
157	113.8998433
158	113.5654071
159	112.5889933
160	112.0492951
161	111.9043087
162	111.6746111
163	111.4810085
164	110.7020506
165	110.0130647
166	109.8835303
167	109.4104611
168	108.8209209
169	108.2982942
170	108.0782105
171	107.5728395
172	107.4164838
173	106.6549935
174	106.2062013
175	105.7914888
176	105.2122717
177	104.243139
178	103.5134604
179	103.381408
180	102.7091109
181	102.3789219
182	102.0789556
183	102.0011501
184	101.2706611
