iter	Passed	Remaining
0	0	474
1	3	898
2	7	1218
3	9	1190
4	11	1144
5	12	1060
6	14	1003
7	15	952
8	16	919
9	17	881
10	19	876
11	21	866
12	22	849
13	23	830
14	25	819
15	26	799
16	28	802
17	29	793
18	31	787
19	36	886
20	39	903
21	41	892
22	42	875
23	43	860
24	44	844
25	45	833
26	46	819
27	47	808
28	49	803
29	50	795
30	52	789
31	53	780
32	55	788
33	58	796
34	59	793
35	60	781
36	62	780
37	63	777
38	64	767
39	65	757
40	67	751
41	68	748
42	70	749
43	71	744
44	73	742
45	75	742
46	76	738
47	78	735
48	79	728
49	81	731
50	82	726
51	85	733
52	87	736
53	88	734
54	90	728
55	93	742
56	97	761
57	99	756
58	101	758
59	103	757
60	104	752
61	111	786
62	113	789
63	117	797
64	118	790
65	119	784
66	121	784
67	122	777
68	123	770
69	124	763
70	126	761
71	127	756
72	128	749
73	129	744
74	130	737
75	132	736
76	133	735
77	134	729
78	135	723
79	136	716
80	137	711
81	138	708
82	139	702
83	140	696
84	141	690
85	142	687
86	144	684
87	145	680
88	146	675
89	147	671
90	150	676
91	151	672
92	152	666
93	153	661
94	155	661
95	157	662
96	158	658
97	159	654
98	162	657
99	163	653
100	164	649
101	165	645
102	168	648
103	171	651
104	172	648
105	173	646
106	174	642
107	175	637
108	176	632
109	177	628
110	178	625
111	179	622
112	181	620
113	183	619
114	185	619
115	187	620
116	189	619
117	190	616
118	191	612
119	192	609
120	195	611
121	196	609
122	198	607
123	199	604
124	201	603
125	202	600
126	204	599
127	207	604
128	210	605
129	213	606
130	217	612
131	225	629
132	227	627
133	229	626
134	231	625
135	235	630
136	239	634
137	243	638
138	244	635
139	248	639
140	251	639
141	252	636
142	255	636
143	256	633
144	257	629
145	258	627
146	260	626
147	262	623
148	262	619
149	264	618
150	266	616
151	366	838
152	368	834
153	369	829
154	369	823
155	370	817
156	371	811
157	373	807
158	373	801
159	374	795
160	375	790
161	376	786
162	379	783
163	380	780
164	386	785
165	388	781
166	390	779
167	392	774
168	392	769
169	394	765
170	394	759
171	395	754
172	396	749
173	397	743
174	397	738
175	400	736
176	400	731
177	401	727
178	402	722
179	403	717
180	405	713
181	405	709
182	406	704
183	407	700
184	408	696
185	411	694
186	412	690
187	413	685
188	413	680
189	414	676
190	415	671
191	415	667
192	417	664
193	418	659
194	419	655
195	419	650
196	420	646
197	421	642
198	422	639
199	423	635
200	424	631
201	425	627
202	425	623
203	426	619
204	428	616
205	429	612
206	430	608
207	430	604
208	431	600
209	432	596
210	434	595
211	435	591
212	436	588
213	437	584
214	438	581
215	440	578
216	441	575
217	442	571
218	442	568
219	443	564
220	444	561
221	445	558
222	446	554
223	447	551
224	448	547
225	448	544
226	449	540
227	450	537
228	451	534
229	452	531
230	453	527
231	453	524
232	454	521
233	455	517
234	456	515
235	457	511
236	458	508
237	459	505
238	459	502
239	460	498
240	461	495
241	462	492
242	463	489
243	463	486
244	464	483
245	465	480
246	468	479
247	469	476
248	470	473
249	470	470
250	471	468
251	473	466
252	474	463
253	475	460
254	476	457
255	477	454
256	478	451
257	479	449
258	480	446
259	480	443
260	481	440
261	482	437
262	482	435
263	483	432
264	485	430
265	485	427
266	486	424
267	487	421
268	488	419
269	489	416
270	490	414
271	490	411
272	491	408
273	492	406
274	493	403
275	493	400
276	495	398
277	495	396
278	496	393
279	497	390
280	498	388
281	498	385
282	499	382
283	501	381
284	502	378
285	502	376
286	503	373
287	504	371
288	505	368
289	507	367
290	507	364
291	508	362
292	509	359
293	509	357
294	510	354
295	511	352
296	512	350
297	513	348
298	514	345
299	514	343
300	515	340
301	516	338
302	518	337
303	519	334
304	520	332
305	520	330
306	521	327
307	522	325
308	523	323
309	524	321
310	525	319
311	526	317
312	526	314
313	527	312
314	528	310
315	529	308
316	530	306
317	531	304
318	531	301
319	532	299
320	533	297
321	534	295
322	535	293
323	536	291
324	536	289
325	538	287
326	539	285
327	541	283
328	542	281
329	543	279
330	549	280
331	550	278
332	552	277
333	554	275
334	557	274
335	560	273
336	563	272
337	564	270
338	567	269
339	569	268
340	571	266
341	573	265
342	576	263
343	578	262
344	580	260
345	581	258
346	583	257
347	584	255
348	585	253
349	585	251
350	586	249
351	587	247
352	589	245
353	589	243
354	590	241
355	591	239
356	591	237
357	592	235
358	593	233
359	594	231
360	595	229
361	595	227
362	596	225
363	597	223
364	597	221
365	598	219
366	599	217
367	600	215
368	601	213
369	602	211
370	603	209
371	604	207
372	605	206
373	606	204
374	607	202
375	608	200
376	609	198
377	618	199
378	619	197
379	620	195
380	621	194
381	622	192
382	624	190
383	625	188
384	626	187
385	627	185
386	628	183
387	629	181
388	630	179
389	631	178
390	632	176
391	634	174
392	635	172
393	636	171
394	637	169
395	638	167
396	639	165
397	642	164
398	643	162
399	645	161
400	647	159
401	649	158
402	655	157
403	656	156
404	658	154
405	671	155
406	673	153
407	674	152
408	676	150
409	678	149
410	679	147
411	680	145
412	682	143
413	687	142
414	689	141
415	690	139
416	692	137
417	695	136
418	697	134
419	698	133
420	702	131
421	713	131
422	734	133
423	744	133
424	746	131
425	752	130
426	754	128
427	764	128
428	767	126
429	772	125
430	773	123
431	774	121
432	776	120
433	777	118
434	778	116
435	779	114
436	782	112
437	784	111
438	789	109
439	791	107
440	792	106
441	794	104
442	795	102
443	796	100
444	797	98
445	798	96
446	800	94
447	801	93
448	802	91
449	804	89
450	805	87
451	806	85
452	806	83
453	807	81
454	809	80
455	810	78
456	811	76
457	812	74
458	813	72
459	814	70
460	816	69
461	818	67
462	819	65
463	820	63
464	822	61
465	823	60
466	823	58
467	824	56
468	825	54
469	827	52
470	828	50
471	828	49
472	830	47
473	831	45
474	833	43
475	834	42
476	835	40
477	835	38
478	837	36
479	838	34
480	840	33
481	840	31
482	841	29
483	842	27
484	844	26
485	844	24
486	845	22
487	846	20
488	847	19
489	848	17
490	849	15
491	851	13
492	851	12
493	852	10
494	853	8
495	854	6
496	855	5
497	856	3
498	856	1
